行列番号,ピボット選択あり,ピボット選択なし
1,4.13E-13,1.79E-11
2,3.48E-14,2.85E-12
3,2.90E-12,5.12E-10
4,7.24E-14,1.41E-11
5,1.87E-13,2.28E-11
6,2.05E-14,5.92E-13
7,2.64E-13,6.88E-11
8,2.45E-14,2.67E-12
9,6.65E-14,2.01E-12
10,6.32E-14,1.22E-12
11,4.31E-13,1.20E-11
12,3.55E-14,1.26E-12
13,9.54E-13,1.32E-10
14,4.34E-14,1.05E-12
15,2.05E-14,2.33E-12
16,4.61E-14,1.61E-12
17,3.89E-13,1.29E-11
18,3.55E-14,8.55E-12
19,8.60E-14,1.54E-11
20,3.85E-14,1.02E-12
21,4.02E-14,1.96E-12
22,6.42E-14,1.57E-11
23,3.52E-14,3.12E-12
24,3.53E-14,3.27E-12
25,5.15E-14,4.50E-11
26,3.66E-14,2.44E-12
27,1.13E-13,8.42E-12
28,1.16E-14,6.10E-13
29,3.50E-14,5.77E-13
30,9.81E-15,8.89E-13
31,1.83E-14,8.77E-13
32,2.40E-14,2.30E-12
33,1.00E-13,2.00E-11
34,3.29E-14,2.95E-12
35,3.27E-14,4.54E-13
36,1.37E-13,7.04E-12
37,6.18E-14,2.51E-11
38,2.40E-14,1.50E-12
39,5.01E-14,1.80E-12
40,3.33E-14,7.84E-12
41,1.84E-13,1.36E-11
42,2.43E-13,3.69E-11
43,7.19E-14,7.06E-12
44,1.14E-13,6.87E-12
45,5.86E-14,2.70E-12
46,1.79E-14,2.30E-13
47,1.71E-14,3.55E-12
48,1.14E-13,6.12E-12
49,1.38E-13,9.99E-12
50,2.16E-13,4.36E-11
51,3.39E-13,7.35E-12
52,3.14E-14,2.50E-12
53,4.04E-14,5.37E-12
54,1.01E-13,2.98E-12
55,2.99E-14,5.58E-12
56,4.64E-14,2.31E-12
57,9.43E-14,3.38E-12
58,2.60E-14,5.95E-12
59,3.80E-14,3.82E-12
60,1.57E-13,3.28E-11
61,7.88E-14,2.62E-12
62,6.99E-14,4.05E-12
63,7.99E-14,2.00E-12
64,9.40E-14,6.05E-12
65,3.15E-12,1.21E-10
66,1.00E-13,3.64E-12
67,8.46E-13,5.67E-10
68,2.33E-13,2.85E-11
69,3.28E-13,4.27E-11
70,7.95E-14,3.88E-12
71,6.19E-14,3.66E-12
72,1.13E-13,1.56E-11
73,3.13E-14,4.37E-12
74,2.96E-14,6.79E-13
75,4.54E-14,4.84E-12
76,3.41E-14,3.18E-12
77,5.50E-14,3.33E-12
78,1.15E-12,2.78E-11
79,4.20E-14,1.33E-11
80,4.56E-14,4.48E-12
81,3.96E-14,1.42E-12
82,9.22E-14,5.60E-12
83,9.70E-14,6.40E-12
84,1.35E-13,2.00E-10
85,4.83E-13,1.82E-11
86,8.48E-14,1.04E-09
87,4.79E-14,1.48E-11
88,5.99E-14,3.51E-12
89,6.72E-14,1.28E-11
90,2.51E-14,1.63E-12
91,5.32E-14,3.09E-12
92,6.32E-14,1.20E-11
93,5.55E-14,1.72E-12
94,1.42E-14,1.18E-11
95,2.20E-14,5.72E-13
96,1.41E-13,4.68E-11
97,3.66E-13,6.94E-11
98,3.23E-14,1.70E-12
99,1.69E-13,2.17E-11
100,6.12E-14,2.90E-12
